ticker,event_type,mean,std,count
000660,corporate_action,8.372638387710316,6.974602351677297,4
000660,earnings,6.400468846852493,8.451164177476315,5
000660,foreign_flow,5.511359028749706,1.6476841739054575,2
000660,market_volatility,3.3483054505658556,10.447354491131438,7
005930,corporate_action,5.847692820538914,2.9345376555756353,9
005930,earnings,3.7932822717008947,2.6174861764165547,6
005930,foreign_flow,-1.0592262589360413,,1
005930,market_volatility,2.676884274517352,3.843495663286749,8
MU,corporate_action,-1.1617912117526759,23.329511892588837,5
MU,earnings,0.2288450234550381,6.4068008226787985,6
MU,market_volatility,9.561655258270932,7.888474690369761,6
